date,open,high,low,close
2024-07-21,2402.23,2411.54,2400.46,2411.18
2024-07-22,2411.17,2412.08,2383.72,2395.12
2024-07-23,2395.09,2411.93,2388.17,2409.24
2024-07-24,2409.25,2431.94,2392.87,2397.63
2024-07-25,2397.85,2401.02,2353.03,2363.16
2024-07-26,2363.17,2390.69,2355.7,2386.9
2024-07-28,2388.75,2403.13,2387.67,2395.58
2024-07-29,2395.7,2402.53,2369.52,2383.88
2024-07-30,2383.93,2412.77,2376.35,2409.13
2024-07-31,2409.22,2450.81,2403.69,2447.52
2024-08-01,2447.54,2462.16,2430.11,2445.06
2024-08-02,2444.96,2477.56,2410.72,2442.44
2024-08-04,2445.0,2447.6,2437.81,2441.22
2024-08-05,2441.23,2458.79,2364.23,2408.75
2024-08-06,2408.82,2418.22,2381.64,2388.46
2024-08-07,2388.53,2406.98,2378.76,2383.63
2024-08-08,2383.67,2427.98,2382.64,2425.64
2024-08-09,2425.62,2436.95,2416.71,2430.87
2024-08-11,2429.75,2433.36,2426.7,2430.3
2024-08-12,2430.25,2474.0,2423.68,2473.69
2024-08-13,2473.67,2476.9,2458.31,2465.41
2024-08-14,2465.38,2479.61,2438.02,2447.73
2024-08-15,2447.76,2469.99,2432.07,2454.69
2024-08-16,2454.8,2509.68,2450.55,2507.58
2024-08-18,2508.85,2510.13,2502.25,2504.77
2024-08-19,2504.78,2507.36,2485.59,2504.18
2024-08-20,2504.17,2531.52,2497.17,2514.6
2024-08-21,2514.5,2519.85,2492.96,2513.76
2024-08-22,2513.78,2514.56,2470.69,2485.07
2024-08-23,2485.04,2518.25,2484.84,2512.2
2024-08-25,2511.93,2514.44,2510.75,2512.75
2024-08-26,2512.8,2526.71,2508.66,2517.23
2024-08-27,2517.22,2525.93,2503.35,2525.55
2024-08-28,2525.6,2528.92,2493.5,2507.14
2024-08-29,2507.05,2528.59,2503.44,2520.81
2024-08-30,2520.82,2526.79,2494.03,2503.19
2024-09-01,2502.85,2504.58,2501.63,2503.38
2024-09-02,2503.4,2507.18,2489.95,2497.57
2024-09-03,2497.58,2506.17,2473.4,2492.96
2024-09-04,2492.98,2500.2,2471.74,2495.17
2024-09-05,2495.18,2523.39,2493.63,2516.09
2024-09-06,2515.97,2529.17,2485.06,2497.21
2024-09-08,2496.63,2497.92,2496.0,2497.7
2024-09-09,2497.86,2507.1,2485.43,2506.85
2024-09-10,2506.83,2518.4,2500.03,2516.33
2024-09-11,2516.32,2528.99,2500.94,2512.68
2024-09-12,2512.67,2560.0,2510.86,2557.29
2024-09-13,2557.3,2586.0,2556.56,2578.78
2024-09-15,2575.44,2580.54,2575.44,2579.88
2024-09-16,2579.89,2589.57,2575.15,2582.72
2024-09-17,2582.86,2586.83,2560.62,2570.56
2024-09-18,2570.55,2600.1,2546.76,2559.09
2024-09-19,2559.08,2594.84,2550.97,2587.62
2024-09-20,2587.55,2625.64,2584.72,2621.94
2024-09-22,2619.5,2621.87,2618.15,2620.23
2024-09-23,2620.37,2634.78,2613.66,2627.4
2024-09-24,2627.33,2664.26,2622.54,2659.1
2024-09-25,2659.11,2670.43,2649.68,2658.13
2024-09-26,2658.12,2685.49,2654.71,2672.19
2024-09-27,2672.26,2674.18,2642.92,2658.14
2024-09-29,2659.0,2663.45,2658.93,2662.57
2024-09-30,2662.55,2665.94,2624.52,2634.82
2024-10-01,2634.85,2673.0,2633.77,2661.88
2024-10-02,2661.98,2663.2,2641.01,2659.34
2024-10-03,2659.33,2662.88,2635.01,2655.86
2024-10-04,2655.72,2670.05,2631.94,2653.28
2024-10-06,2650.78,2652.69,2649.63,2650.62
2024-10-07,2650.61,2659.53,2637.61,2644.08
2024-10-08,2644.09,2652.86,2604.68,2621.83
2024-10-09,2621.89,2624.21,2605.06,2608.77
2024-10-10,2608.7,2631.42,2604.55,2628.14
2024-10-11,2628.16,2661.34,2628.16,2657.12
2024-10-13,2651.03,2652.53,2645.0,2650.14
2024-10-14,2650.28,2666.69,2643.05,2649.88
2024-10-15,2650.03,2668.87,2638.01,2662.05
2024-10-16,2662.07,2685.21,2658.65,2673.65
2024-10-17,2673.64,2696.65,2673.1,2692.49
2024-10-18,2692.63,2722.45,2692.18,2721.25
2024-10-20,2720.5,2723.83,2719.9,2723.43
2024-10-21,2723.58,2740.48,2714.06,2720.55
2024-10-22,2720.53,2748.88,2720.2,2747.37
2024-10-23,2747.27,2758.39,2708.63,2717.93
2024-10-24,2717.94,2743.17,2717.7,2734.45
2024-10-25,2734.47,2747.68,2716.87,2747.33
2024-10-27,2732.15,2740.17,2730.07,2735.74
2024-10-28,2735.75,2745.85,2724.58,2744.35
2024-10-29,2744.39,2775.38,2743.18,2774.86
2024-10-30,2774.88,2789.96,2770.77,2785.23
2024-10-31,2785.3,2790.03,2731.42,2746.46
2024-11-01,2746.47,2762.08,2733.03,2736.18
2024-11-03,2736.55,2740.25,2729.27,2738.17
2024-11-04,2738.15,2748.05,2731.73,2735.82
2024-11-05,2735.95,2749.92,2724.65,2745.59
2024-11-06,2745.54,2749.61,2652.27,2663.83
2024-11-07,2663.85,2710.23,2643.27,2706.71
2024-11-08,2706.79,2710.29,2680.29,2684.2
2024-11-10,2684.68,2685.57,2681.2,2685.5
2024-11-11,2685.6,2685.97,2610.46,2623.82
2024-11-12,2623.75,2627.04,2589.63,2598.74
2024-11-13,2598.94,2618.73,2569.05,2570.84
2024-11-14,2570.74,2577.39,2536.77,2566.72
2024-11-15,2566.74,2575.94,2554.29,2562.85
2024-11-17,2568.1,2575.42,2566.43,2571.29
2024-11-18,2571.28,2615.0,2569.74,2612.44
2024-11-19,2612.64,2639.38,2610.9,2635.03
2024-11-20,2634.94,2655.34,2618.74,2652.02
2024-11-21,2651.97,2673.44,2650.29,2668.93
2024-11-22,2668.94,2716.15,2668.63,2715.83
2024-11-24,2708.6,2721.23,2705.3,2719.81
2024-11-25,2719.76,2720.03,2605.02,2610.37
2024-11-26,2610.42,2641.85,2608.64,2632.23
2024-11-27,2632.18,2658.17,2626.92,2636.88
2024-11-28,2636.86,2649.52,2620.92,2638.71
2024-11-29,2638.69,2666.16,2633.93,2650.15
2024-12-01,2650.2,2651.1,2642.93,2645.58
2024-12-02,2645.76,2651.53,2621.73,2642.07
2024-12-03,2642.12,2655.43,2634.02,2642.73
2024-12-04,2642.69,2657.07,2632.36,2650.21
2024-12-05,2650.23,2655.42,2623.35,2633.6
2024-12-06,2633.67,2645.47,2613.28,2633.05
2024-12-08,2646.4,2648.2,2636.26,2639.93
2024-12-09,2639.84,2676.35,2627.45,2660.4
2024-12-10,2660.38,2698.22,2657.82,2695.88
2024-12-11,2695.86,2721.13,2673.86,2719.88
2024-12-12,2719.84,2726.15,2675.02,2680.4
2024-12-13,2680.35,2692.62,2645.89,2648.13
2024-12-15,2649.6,2652.9,2648.38,2651.31
2024-12-16,2651.23,2664.31,2643.16,2651.55
2024-12-17,2651.65,2658.6,2632.9,2647.28
2024-12-18,2647.24,2651.56,2583.35,2588.03
2024-12-19,2588.08,2626.33,2586.73,2593.38
2024-12-20,2593.3,2631.88,2589.38,2622.83
2024-12-22,2623.45,2624.71,2620.7,2624.25
2024-12-23,2624.43,2633.22,2607.98,2615.33
2024-12-24,2615.43,2621.34,2609.79,2614.61
2024-12-25,2615.28,2619.88,2614.4,2618.53
2024-12-26,2618.58,2639.02,2618.58,2632.33
2024-12-27,2632.48,2638.28,2611.47,2621.48
2024-12-29,2619.8,2626.34,2619.8,2623.85
2024-12-30,2623.88,2628.1,2595.77,2606.68
2024-12-31,2606.61,2627.44,2602.57,2624.18
2025-01-01,2624.13,2625.7,2621.53,2623.7
2025-01-02,2624.07,2660.47,2622.63,2658.33
2025-01-03,2658.17,2665.12,2636.41,2639.98
2025-01-05,2640.73,2642.38,2638.83,2641.0
2025-01-06,2640.85,2649.46,2614.33,2634.48
2025-01-07,2634.73,2664.27,2632.77,2649.7
2025-01-08,2649.53,2669.9,2645.03,2662.68
2025-01-09,2662.58,2678.22,2655.3,2669.83
2025-01-10,2669.92,2697.83,2663.6,2687.63
2025-01-12,2687.2,2691.48,2684.11,2691.03
2025-01-13,2691.06,2693.3,2656.67,2667.9
2025-01-14,2668.1,2678.15,2659.7,2675.48
2025-01-15,2675.33,2698.0,2669.24,2694.95
2025-01-16,2695.15,2724.68,2689.67,2714.51
2025-01-17,2714.41,2717.3,2698.94,2702.18
2025-01-19,2701.45,2703.24,2690.68,2696.56
2025-01-20,2696.53,2713.52,2689.38,2710.45
2025-01-21,2710.34,2746.0,2702.56,2744.36
2025-01-22,2744.14,2763.29,2742.44,2755.37
2025-01-23,2755.35,2758.95,2735.7,2754.31
